Period,Base,Variable,Value
2022,LA,E07000105,1223
2022,LA,E07000143,1822
2022,LA,E07000108,1419
2022,LA,E06000043,2135
2022,LA,E08000004,2345
2022,LA,E07000216,1351
2022,LA,E07000046,856
2022,LA,E07000133,557
2022,LA,E07000117,1086
2022,LA,E08000002,2026
2022,LA,E07000083,990
2022,LA,E07000197,1451
2022,LA,E07000245,1787
2022,LA,E06000005,1273
2022,LA,E06000061,3528
2022,LA,E06000007,2129
2022,LA,E06000019,2331
2022,LA,E07000241,958
2022,LA,E07000177,1356
2022,LA,E07000224,2362
2022,LA,E07000237,909
2022,LA,E07000009,783
2022,LA,E07000064,1479
2022,LA,E06000013,1973
2022,LA,E07000210,920
2022,LA,E08000026,3021
2022,LA,E06000050,3796
2022,LA,E07000238,1502
2022,LA,E08000024,3273
2022,LA,E07000040,2018
2022,LA,E07000222,1402
2022,LA,E08000032,4956
2022,LA,E07000036,1301
2022,LA,E07000173,1222
2022,LA,E08000008,2460
2022,LA,E07000122,927
2022,LA,E06000023,3606
2022,LA,E06000045,1948
2022,LA,E07000039,1016
2022,LA,E08000013,2194
2022,LA,E07000086,1255
2022,LA,E08000037,2287
2022,LA,E07000068,755
2022,LA,E07000069,1076
2022,LA,E08000030,2856
2022,LA,E09000029,1548
2022,LA,E07000175,1407
2022,LA,E09000031,1529
2022,LA,E07000062,1090
2022,LA,E07000171,1388
2022,Age,79,16444
2022,Age,78,16170
2022,Age,25,309
2022,Age,23,300
2022,Age,69,8339
2022,Age,89,19913
2022,Age,15,101
2022,Age,2,95
2022,Age,66,6882
2022,Age,67,7176
2022,Age,48,1784
2022,Age,52,2744
2022,Age,88,20343
2022,Age,65,6377
2022,Age,30,470
2022,LA,E09000017,2129
2022,LA,E07000067,1572
2022,LA,E07000073,759
2022,LA,E07000076,2355
2022,LA,E07000077,775
2022,LA,E07000089,820
2022,LA,E07000240,1209
2022,LA,E06000058,4594
2022,LA,E06000003,1738
2022,LA,E09000025,1444
2022,LA,E07000011,1734
2022,LA,E07000136,868
2022,LA,E06000066,6819
2022,LA,E06000020,1758
2022,LA,E07000215,855
2022,LA,E09000019,1095
2022,LA,E06000022,1820
2022,LA,E07000140,1169
2022,LA,E07000141,1550
2022,LA,E06000014,2010
2022,LA,E07000070,1649
2022,LA,E07000123,1370
2022,LA,E06000044,1793
2022,LA,E07000172,1205
2022,LA,E07000239,1293
2022,LA,E08000012,4734
2022,LA,E09000011,1623
2022,LA,E06000008,1452
2022,LA,E07000091,2382
2022,LA,E07000218,785
2022,LA,E08000027,3487
2022,LA,E06000040,1331
2022,LA,E07000115,1235
2022,LA,E06000047,6218
2022,LA,E06000051,3947
2022,LA,E09000033,1050
2022,LA,E07000178,943
2022,LA,E09000013,934
2022,LA,E06000030,1982
2022,LA,E07000221,1586
2022,LA,E07000132,1199
2022,LA,E07000088,895
2022,LA,E06000011,4389
2022,LA,E07000043,1273
2022,LA,E08000007,3157
2022,LA,E06000064,2819
2022,LA,E07000072,1285
2022,LA,E07000194,1162
2022,LA,E09000006,2595
2022,LA,E09000007,1134
2022,LA,E09000027,1312
2022,LA,E06000001,1064
2022,LA,E09000004,2145
2022,LA,E07000135,654
2022,LA,E07000145,1399
2022,LA,E06000031,1850
2022,LA,E07000080,1042
2022,LA,NULL,36827
2022,LA,E07000176,1140
2022,LA,E06000057,3926
2022,LA,E07000227,1467
2022,LA,E06000041,1362
2022,LA,E07000225,1628
2022,LA,E07000146,1973
2022,LA,E08000034,4223
2022,LA,E08000022,2400
2022,LA,E08000014,3629
2022,LA,E07000118,1274
2022,LA,E07000214,906
2022,LA,E07000234,1220
2022,LA,E07000235,1088
2022,LA,E07000148,1233
2022,LA,E07000111,1174
2022,LA,E07000045,1691
2022,LA,E08000031,2697
2022,LA,E07000112,1493
2022,LA,E07000223,733
2022,LA,E08000009,2178
2022,LA,E07000044,1023
2022,LA,E07000128,1628
2022,Sex,2,285096
2022,NeoCheck,Age,29
2022,TREND,2016,525048
2022,NeoCheck,UCOD,0
