Dashboard   Period GeoCode                                            GeoName                                            VariableType                                       VariableA                                          VariableB                                          Value                   
          1 2018   NULL                                               NULL                                               AgeSex                                             30                                                 2                                                                     154.0
          1 2018   NULL                                               NULL                                               AgeSex                                             31                                                 1                                                                     341.0
          1 2018   NULL                                               NULL                                               AgeSex                                             31                                                 2                                                                     137.0
          1 2018   NULL                                               NULL                                               AgeSex                                             32                                                 1                                                                     291.0
          1 2018   NULL                                               NULL                                               AgeSex                                             32                                                 2                                                                     181.0
          1 2018   NULL                                               NULL                                               AgeSex                                             33                                                 1                                                                     367.0
          1 2018   NULL                                               NULL                                               AgeSex                                             33                                                 2                                                                     173.0
          1 2018   NULL                                               NULL                                               AgeSex                                             34                                                 1                                                                     362.0
          1 2018   NULL                                               NULL                                               AgeSex                                             34                                                 2                                                                     231.0
          1 2018   NULL                                               NULL                                               AgeSex                                             35                                                 1                                                                     399.0
          1 2018   NULL                                               NULL                                               AgeSex                                             35                                                 2                                                                     225.0
          1 2018   NULL                                               NULL                                               AgeSex                                             36                                                 1                                                                     410.0
          1 2018   NULL                                               NULL                                               AgeSex                                             36                                                 2                                                                     233.0
          1 2018   NULL                                               NULL                                               AgeSex                                             37                                                 1                                                                     492.0
          1 2018   NULL                                               NULL                                               AgeSex                                             37                                                 2                                                                     290.0
          1 2018   NULL                                               NULL                                               AgeSex                                             38                                                 1                                                                     469.0
          1 2018   NULL                                               NULL                                               AgeSex                                             38                                                 2                                                                     296.0
          1 2018   NULL                                               NULL                                               AgeSex                                             39                                                 1                                                                     490.0
          1 2018   NULL                                               NULL                                               AgeSex                                             39                                                 2                                                                     303.0
          1 2018   NULL                                               NULL                                               AgeSex                                             4                                                  1                                                                      41.0
          1 2018   NULL                                               NULL                                               AgeSex                                             4                                                  2                                                                      17.0
          1 2018   NULL                                               NULL                                               AgeSex                                             40                                                 1                                                                     525.0
          1 2018   NULL                                               NULL                                               AgeSex                                             40                                                 2                                                                     263.0
          1 2018   NULL                                               NULL                                               AgeSex                                             41                                                 1                                                                     537.0
          1 2018   NULL                                               NULL                                               AgeSex                                             41                                                 2                                                                     313.0
          1 2018   NULL                                               NULL                                               AgeSex                                             42                                                 1                                                                     650.0
          1 2018   NULL                                               NULL                                               AgeSex                                             42                                                 2                                                                     359.0
          1 2018   NULL                                               NULL                                               AgeSex                                             43                                                 1                                                                     717.0
          1 2018   NULL                                               NULL                                               AgeSex                                             43                                                 2                                                                     418.0
          1 2018   NULL                                               NULL                                               AgeSex                                             44                                                 1                                                                     756.0
          1 2018   NULL                                               NULL                                               AgeSex                                             44                                                 2                                                                     482.0
          1 2018   NULL                                               NULL                                               AgeSex                                             45                                                 1                                                                     882.0
